solar_TIMESTAMP,CZE_BIK_Pab_Jt_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2016-06-01 06:05:34+00:00,0.0,12.833,90.374,209.1287852,442.0982519128,0.7013,0.0,0.2946692619,0.5002967619,407.4779194633649,0.1428005906287284
2016-06-01 06:15:34+00:00,0.0,13.0275,89.768,247.3867077,522.9755000777999,0.85,0.0,0.2946904048,0.5002756190000001,442.27584635620457,0.1537368761199687
2016-06-01 06:25:34+00:00,0.0,13.4125,87.779,260.2195423,550.1041124221999,1.052,0.0,0.2947115476,0.5002756190000001,476.9565116779162,0.188300546326658
2016-06-01 06:35:34+00:00,0.0,13.6525,86.419,298.8419014,631.7517795596,1.5665,0.0,0.2946692619,0.5002544762,511.4539130640357,0.212554957794623
2016-06-01 06:45:34+00:00,0.0,13.664,86.3695,334.8921655,707.9620378669999,1.189,0.0,0.2946507619,0.5002544762,545.7023969384138,0.2134895018818421
2016-06-01 06:55:34+00:00,0.0,13.9765,85.23,386.9801056,818.0759432384,1.2083,0.0,0.2946507619,0.5002359761999999,579.6367834614915,0.2360869167291546
2016-06-01 07:05:34+00:00,6.994366645812988,14.0335,85.051,304.8112676,644.3710197064,1.3967,0.0,0.294629619,0.5002148333,613.192490577019,0.2398342249739383
2016-06-01 07:15:34+00:00,27.31001377105713,14.1935,84.5975,368.899912,779.8544139679999,0.8748,0.0,0.294611119,0.5002148333,646.3056569207844,0.2496886652743114
2016-06-01 07:25:34+00:00,49.75652694702149,14.262,83.5765,239.3678697,506.0236765458,1.4425,0.0,0.294611119,0.5001963333,678.9132633581357,0.2674248689630509
2016-06-01 07:35:34+00:00,98.8396406173706,14.0565,83.199,253.3079225,535.4929481649999,1.0175,0.0,0.294629619,0.5001751904999999,710.9532529182163,0.2699495551734727
2016-06-01 07:45:34+00:00,150.92527866363525,14.022,81.0085,147.1926937,311.1653544818,0.9338,0.0,0.2945899762,0.5001751904999999,742.3646488972962,0.3044626373020115
2016-06-01 07:55:34+00:00,204.4638395309448,14.201,77.8115,277.9833627,587.6568287478,1.1432,0.0,0.2945688333,0.5001540476,773.0876709059472,0.3598709181933137
2016-06-01 08:05:34+00:00,300.8146286010742,14.365,72.7325,215.7859155,456.1714253669999,1.4655,0.0,0.2945291905,0.5001355476,803.0638486396683,0.4469707830397234
2016-06-01 08:15:34+00:00,437.94333934783936,15.085,70.366,623.9890845,1319.112924633,1.574,0.0,0.2945503332999999,0.5001144048,832.236133155918,0.5088774843312575
2016-06-01 08:25:34+00:00,695.3722238540649,15.946,66.415,712.4917254,1506.2075074956,1.3493,0.0,0.2944895476,0.5000932619,860.5490054462769,0.6094787370254519
2016-06-01 08:35:34+00:00,1041.524887084961,16.5785,62.414,799.5295775,1690.2055268349998,1.5913,0.0,0.2944684047999999,0.5000747619,887.9485820968548,0.710162681670806
2016-06-01 08:45:34+00:00,1452.7673721313477,17.0705,61.5875,786.0640845,1661.739474633,1.3625,0.0,0.2944895476,0.500053619,914.3827178357452,0.7488078402287687
2016-06-01 08:55:34+00:00,1829.2372226715088,17.1695,60.0595,803.6696303,1698.9575984541998,1.5035,0.0,0.2944499048,0.5000139762,939.80110477276,0.7834921451341624
2016-06-01 09:05:34+00:00,2184.97896194458,16.96,60.524,639.4971831,1351.8970450734,1.9285,0.0,0.2944287619,0.4999743333,964.1553681421344,0.7641677879270953
2016-06-01 09:15:34+00:00,2480.1831245422363,16.8645,60.5625,675.3892606,1427.7728969083998,1.6865,0.0,0.294389119,0.4999320476,987.399158366245,0.7588108881990303
2016-06-01 09:25:34+00:00,2773.934841156006,16.514,62.2005,565.8216549,1196.1469784586,1.4503,0.0,0.2942675476,0.4999135476,1009.4882392651476,0.7112714317177367
2016-06-01 09:35:34+00:00,2945.642709732056,17.3105,58.7485,700.2296655,1480.285512867,1.05,0.0,0.2940851905,0.4998739048,1030.3805722439074,0.8164618358246456
2016-06-01 09:45:34+00:00,3340.6126499176025,17.9085,57.019,842.4433099,1780.9251571286,1.8943,0.0,0.2940455476,0.4998527619,1050.0363962975914,0.8834029703326736
2016-06-01 09:55:34+00:00,3708.171129226685,18.3125,55.628,831.3917254,1757.5621074956,1.5608,0.0,0.2940244047999999,0.499813119,1068.418303681735,0.9354437635039172
2016-06-01 10:05:34+00:00,3976.061344146729,17.596,57.9905,322.7882923,682.3744499222,1.1948,0.0,0.2939847619,0.4997919762,1085.4913111040792,0.8465966430792371
2016-06-01 10:15:34+00:00,3811.568260192871,17.6265,58.684,571.7979754,1208.7809199956,1.1948,0.0,0.293963619,0.4997523333,1101.2229263023305,0.8342246842765803
2016-06-01 10:25:34+00:00,3740.2539253234863,17.3105,58.3255,362.3528169,766.0138549266,1.3378,0.0,0.2939239762,0.4997100476,1115.58320988097,0.824833976390536
2016-06-01 10:35:34+00:00,3703.616142272949,17.9465,56.3635,714.637412,1510.743488968,1.311,0.0,0.2938843333,0.4997100476,1128.5448322897826,0.8990231717479207
2016-06-01 10:45:34+00:00,3849.5588302612314,17.76,54.9995,434.5566021,918.6526568394,1.0727,0.0,0.2938446905,0.4996704048,1140.0831258351946,0.9163002218878712
2016-06-01 10:55:34+00:00,3821.73490524292,18.019,56.691,489.5810739,1034.9743902245998,1.492,0.0,0.2938235475999999,0.4996519048,1150.1761316259372,0.8963546446206457
2016-06-01 11:05:34+00:00,3769.599437713623,17.6915,57.579,399.5584507,844.6665647798,1.2747,0.0,0.2936411905,0.499609619,1158.8046413633451,0.8600547032157899
2016-06-01 11:15:34+00:00,3602.200508117676,18.438,54.8395,562.156162,1188.398126468,1.1795,0.0,0.2929963332999999,0.4995699762,1165.952233896888,0.9595895352832878
2016-06-01 11:25:34+00:00,3717.051029205322,17.619,55.67,261.5330986,552.8809704404,0.9358,0.0,0.2929355476,0.4995303332999999,1171.6053064753528,0.8946579145018662
2016-06-01 11:35:34+00:00,3479.429006576538,17.638,57.114,447.9189261,946.9006097754,0.8002,0.0,0.2928959048,0.4994906905,1175.7531006342242,0.8665534796471897
2016-06-01 11:45:34+00:00,3326.7524242401123,19.021,52.599,946.096831,2000.048700734,0.9053,0.0,0.2928774048,0.4994484048,1178.3877226699408,1.0445957495714857
2016-06-01 11:55:34+00:00,3650.0461101531982,19.585,50.309,274.6823063,580.6783955182,1.1662,0.0,0.2928562618999999,0.4994299048,1179.5041586621287,1.1341936413186409
2016-06-01 12:05:34+00:00,3750.852584838867,18.377,52.214,397.7704225,840.8866731649999,1.0785,0.0,0.292816619,0.499387619,1179.100284015174,1.0115013951966392
2016-06-01 12:15:34+00:00,3539.8664474487305,17.935,55.731,369.5808099,781.2938321286,0.6382,0.0,0.2927743333,0.4993479762,1177.1768675010044,0.9113944859194352
2016-06-01 12:25:34+00:00,3289.651870727539,18.2475,53.921,342.0169894,723.0239155915999,0.8652,0.0,0.2927558333,0.4993294762,1173.7375697953844,0.9674757046891614
2016-06-01 12:35:34+00:00,3267.833709716797,18.2475,53.437,413.8630282,874.9064416147999,1.4273,0.0,0.2926950476,0.4992871905,1168.788936510503,0.9776377794101744
2016-06-01 12:45:34+00:00,3249.6957778930664,18.301,52.976,367.0637324,775.9727302936,0.9718,0.0,0.2926342619,0.4992475476,1162.340385737118,0.9906377367370458
2016-06-01 12:55:34+00:00,3292.870044708252,18.8535,50.1565,597.1610915,1262.398547431,0.6992,0.0,0.292594619,0.4992079048,1154.4041901199737,1.086994971908117
2016-06-01 13:05:34+00:00,3438.8132095336914,19.604,49.124,386.71875,817.5234375,0.4877,0.0,0.2925734762,0.4991867619,1144.9954535006175,1.1626123928674303
2016-06-01 13:15:34+00:00,3500.3910064697266,18.743,52.4425,233.9142606,494.4947469084,0.3298,0.0,0.2925549762,0.4991259762,1134.1320821720192,1.030003098051265
2016-06-01 13:25:34+00:00,3301.99670791626,20.0765,46.476,976.1707746,2063.6250175044,1.4178,0.0,0.2925126905,0.4991074762,1121.8347507997871,1.259480432644685
2016-06-01 13:35:34+00:00,3693.964719772339,19.2725,48.1675,300.4648768,635.1827495552,1.7055,0.0,0.2925126905,0.4990863333,1108.1268630747395,1.1603019732265427
2016-06-01 13:45:34+00:00,3674.373865127564,17.539,55.369,429.997007,909.013672798,1.6388,0.0,0.2925126905,0.4990466905,1093.0345071718036,0.8961964790288872
2016-06-01 13:55:34+00:00,3321.3908672332764,17.4245,54.805,360.9361796,763.0190836744,1.9837,0.0,0.2924519048,0.4989859048,1076.5864060999606,0.9009824545772775
2016-06-01 14:05:34+00:00,3190.2174949646,17.078,54.4735,310.5262324,656.4524552936,1.959,0.0,0.2924122618999999,0.4989462618999999,1058.8138630377289,0.8879090083939376
2016-06-01 14:15:34+00:00,3138.0820274353027,17.9275,50.225,857.9583627,1813.7239787478,1.6712,0.0,0.2923514762,0.4989039762,1039.7507017583323,1.0242664927697265
