solar_TIMESTAMP,CZE_STI_Fsy_Jt_5,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2016-08-09 20:57:20+00:00,75.16908645629883,15.271,100.0,0.0,0.0,0.32775,0.0,0.2774438,0.3885237,0.0,0.0
2016-08-09 21:07:20+00:00,146.8653678894043,15.294,100.0,0.0,0.0,0.1905,0.0,0.27751885,0.3885237,0.0,0.0
2016-08-09 21:17:20+00:00,74.98598098754883,15.3245,100.0,0.0,0.0,0.33725,0.0,0.2774438,0.3884788,0.0,0.0
2016-08-09 21:27:20+00:00,74.89490509033203,15.267,100.0,0.0,0.0,0.36775,0.0,0.2774938,0.3884788,0.0,0.0
2016-08-09 21:37:20+00:00,20.96271514892578,15.2445,100.0,0.0,0.0,0.51825,0.0,0.2774938,0.3884274,0.0,0.0
2016-08-09 21:47:20+00:00,20.87116241455078,15.145,100.0,0.0,0.0,0.2705,0.0,0.27751885,0.3884788,0.0,0.0
2016-08-09 21:57:20+00:00,128.46136093139648,15.092,100.0,0.0,0.0,0.24575,0.0,0.2774938,0.3884788,0.0,0.0
2016-08-09 22:07:20+00:00,0.0,15.0425,100.0,0.0,0.0,0.32775,0.0,0.2774719,0.3884788,0.0,0.0
2016-08-09 22:17:20+00:00,0.0,15.012,100.0,0.0,0.0,0.24775,0.0,0.27746885,0.3884788,0.0,0.0
2016-08-09 22:27:20+00:00,0.0,14.9585,100.0,0.0,0.0,0.322,0.0,0.27746885,0.3884274,0.0,0.0
2016-08-09 22:37:20+00:00,0.0,14.806,100.0,0.0,0.0,0.37925,0.0,0.27749385,0.3884274,0.0,0.0
2016-08-09 22:47:20+00:00,0.0,14.5015,100.0,0.0,0.0,0.66325,0.0,0.27746885,0.3884274,0.0,0.0
2016-08-09 22:57:20+00:00,0.0,14.296,100.0,0.0,0.0,0.2915,0.0,0.27729385,0.3883761,0.0,0.0
2016-08-09 23:07:20+00:00,0.0,14.1205,100.0,0.0,0.0,0.3735,0.0,0.27734385,0.3884274,0.0,0.0
2016-08-09 23:17:20+00:00,0.0,14.0825,100.0,0.0,0.0,0.11625,0.0,0.27729385,0.3884788,0.0,0.0
2016-08-09 23:27:20+00:00,0.0,13.995,100.0,0.0,0.0,0.19425,0.0,0.27734385,0.3884788,0.0,0.0
2016-08-09 23:37:20+00:00,0.0,13.9035,100.0,0.0,0.0,0.1715,0.0,0.27731885,0.3884274,0.0,0.0
2016-08-09 23:47:20+00:00,0.0,13.728,100.0,0.0,0.0,0.36575,0.0,0.27739385,0.3883761,0.0,0.0
2016-08-09 23:57:31+00:00,0.0,13.3855,100.0,0.0,0.0,0.3755,0.2,0.27739385,0.3884274,0.0,0.0
2016-08-10 00:07:31+00:00,0.0,13.256,100.0,0.0,0.0,0.28775,0.0,0.27731885,0.3884274,0.0,0.0
2016-08-10 00:17:31+00:00,0.0,13.237,100.0,0.0,0.0,0.28775,0.0,0.2772438499999999,0.3884274,0.0,0.0
2016-08-10 00:27:31+00:00,0.0,13.1605,100.0,0.0,0.0,0.19825,0.2,0.27734385,0.3884274,0.0,0.0
2016-08-10 00:37:31+00:00,0.0,13.073,100.0,0.0,0.0,0.24975,0.0,0.27736885,0.3884274,0.0,0.0
2016-08-10 00:47:31+00:00,0.0,13.0195,100.0,0.0,0.0,0.2325,0.0,0.27739385,0.3884274,0.0,0.0
2016-08-10 00:57:31+00:00,0.0,12.917,100.0,0.0,0.0,0.29525,0.0,0.27739385,0.3883761,0.0,0.0
