solar_TIMESTAMP,NZL_HUA_HUA_Aau_Jt_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2012-09-19 20:16:09+00:00,172.60510000000002,7.0500002,98.70002961853244,0.0227323799999999,0.04806,0.022,0.0,0.537,0.63,0.0,0.01306894
2012-09-19 20:31:09+00:00,167.8427,6.7350001,98.45515866174216,0.019892015,0.042055,0.011,0.0,0.537,0.63,0.0,0.01519833
2012-09-19 20:46:09+00:00,163.1905,6.4200001,98.20010072925108,0.0170516499999999,0.03605,0.0,0.0,0.537,0.63,0.0,0.01732772
2012-09-19 21:01:09+00:00,147.6963,5.8759999,98.43974121693856,0.01989438,0.04206,0.0,0.0,0.537,0.63,0.0,0.01446663
2012-09-19 21:16:09+00:00,147.6963,5.3319998,98.7001617738692,0.0227371099999999,0.04807,0.0,0.0,0.537,0.63,0.0,0.01160555
2012-09-19 21:31:09+00:00,147.6963,4.8284998,98.892537224258,0.0215995449999999,0.045665,0.0,0.0,0.537,0.63,0.0,0.00954701
2012-09-19 21:46:09+00:00,147.6963,4.3249998,99.1001794734978,0.0204619799999999,0.04326,0.0,0.0,0.537,0.63,0.0,0.00748848
2012-09-19 22:01:09+00:00,147.6963,4.0654999,99.54182005544156,0.0210319449999999,0.044465,0.0,0.0,0.537,0.63,0.0,0.00374424
2012-09-19 22:16:09+00:00,132.6303,3.806,100.0,0.02160191,0.04567,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 22:31:09+00:00,132.6303,3.8355,100.0,0.0187615449999999,0.039665,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 22:46:09+00:00,132.6303,3.865,100.0,0.01592118,0.03366,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 23:01:09+00:00,128.0957,3.72,100.0,0.01307845,0.02765,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 23:16:09+00:00,132.6303,3.575,100.0,0.0102357199999999,0.02164,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 23:31:09+00:00,132.6303,3.1785001,100.0,0.01251085,0.02645,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-19 23:46:09+00:00,132.6303,2.7820001,100.0,0.01478598,0.03126,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 00:01:09+00:00,132.6303,2.883,100.0,0.015923545,0.033665,0.0,0.0,0.537,0.63,0.0,0.0
2012-09-20 00:16:30+00:00,132.6303,2.984,100.0,0.0170611099999999,0.03607,0.0,0.0,0.537,0.63,0.0,0.0
