solar_TIMESTAMP,CZE_LAN_Qro_Jt_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2016-05-06 00:11:03+00:00,1092.27055311203,12.451,74.6135,0.0,0.0,1.463589557,0.0,0.409925,0.422825,0.0,0.3667187843
2016-05-06 00:21:03+00:00,1033.5883516818285,12.3325,75.006,0.0,0.0,1.282566638,0.0,0.4097249999999999,0.423075,0.0,0.3582476493
2016-05-06 00:31:03+00:00,845.3449830412865,12.1575,75.7195,0.0,0.0,1.423214673,0.0,0.4097249999999999,0.4231,0.0,0.3440358658
2016-05-06 00:41:03+00:00,743.4757258743048,11.974,76.4935,0.0,0.0,1.508081617,0.0,0.4096249999999999,0.4231,0.0,0.329065311
2016-05-06 00:51:03+00:00,732.7792458236217,11.902,77.0425,0.0,0.0,1.731737227,0.0,0.409575,0.423075,0.0,0.3198570284
2016-05-06 01:01:03+00:00,638.1075195968151,11.776,77.5195,0.0,0.0,1.636643749,0.0,0.4096000000000001,0.4231,0.0,0.3106164509
2016-05-06 01:11:03+00:00,706.5866850316525,11.738,77.8245,0.0,0.0,1.412058455,0.0,0.4096000000000001,0.423075,0.0,0.305633961
2016-05-06 01:21:03+00:00,626.3109557330608,11.7415,77.5765,0.0,0.0,1.477800454,0.0,0.4095500000000001,0.4231,0.0,0.3091235029
2016-05-06 01:31:03+00:00,529.2403642088175,11.669,77.756,0.0,0.0,1.218816821,0.0,0.4095500000000001,0.4231499999999999,0.0,0.3051830953
2016-05-06 01:41:03+00:00,451.36396773159504,11.4555,78.736,0.0,0.0,1.554698671,0.0,0.4095499999999999,0.4231499999999999,0.0,0.28764525
2016-05-06 01:51:03+00:00,356.69270902872086,11.2875,79.129,0.0,0.0,1.517245654,0.0,0.409575,0.4231,0.0,0.2792031285999999
2016-05-06 02:01:03+00:00,329.20089922845364,10.979,80.643,0.0,0.0,1.454558333,0.0,0.409575,0.4231,0.0,0.2536991838
2016-05-06 02:11:03+00:00,236.92897334694865,10.8455,81.257,0.0,0.0,1.515253472,0.0,0.4095,0.4231749999999999,0.0,0.2434801835
2016-05-06 02:21:03+00:00,192.6423013210297,10.849,81.2495,0.0,0.0,1.74886999,0.0,0.4093,0.4231749999999999,0.0,0.2436343548
2016-05-06 02:31:03+00:00,109.96677167713642,10.8415,81.52,0.0,0.0,1.660815555,0.0,0.40935,0.4231749999999999,0.0,0.2399997931
2016-05-06 02:41:03+00:00,108.86715538799764,10.8455,81.5275,0.0,0.0,1.660815555,0.0,0.409325,0.4231749999999999,0.0,0.2399662642
2016-05-06 02:51:03+00:00,105.36820627748966,10.9065,81.314,0.0,0.0,1.722573191,0.0,0.409325,0.423125,0.0,0.2437269325
2016-05-06 03:01:03+00:00,97.07059152424335,10.731,82.1835,0.0,0.0,1.31590248,0.0,0.4092749999999999,0.423125,0.0,0.2296867598
2016-05-06 03:11:03+00:00,0.0,10.6735,82.443,0.0,0.0,1.530394054,0.0,0.409275,0.4232249999999999,0.0,0.2254758446999999
2016-05-06 03:21:03+00:00,0.0,10.5555,83.072,0.0,0.0,1.173395076,0.0,0.4092749999999999,0.4231749999999999,0.0,0.2156941792
2016-05-06 03:31:03+00:00,0.0,10.384,83.961,0.0,0.0,1.166223222,0.0,0.409175,0.4232249999999999,0.0,0.2020403508
