solar_TIMESTAMP,CAN_TUR_P74_Pst_Js_8,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2015-06-29 17:04:54+00:00,675.108758395392,22.24,65.8899999999999,288.8138,610.6,2.252,0.0,0.137951388888889,0.031,579.0470957838135,0.9165846609513584
2015-06-29 17:34:54+00:00,542.938591289614,21.87,67.75,205.1401,433.7,1.631,0.0,0.137875,0.031,464.4354175959304,0.847287361494002
2015-06-29 18:04:54+00:00,439.5289566847,21.44,69.01,124.4463,263.1,1.556,0.0,0.137027777777778,0.03,347.9259813767795,0.7930664487526043
2015-06-29 18:34:54+00:00,228.66792950865332,20.94,71.72,56.2397,118.9,0.880999999999998,0.0,0.137388888888889,0.031,231.51174101677933,0.7018561145815276
2015-06-29 19:04:54+00:00,82.17277284323694,19.81,85.7,15.09343,31.91,0.0679999999999988,0.0,0.136465277777778,0.03,117.18402255681173,0.3309861929852064
2015-06-29 19:34:54+00:00,39.6997499149524,18.39,91.5000000000001,0.0,0.0,0.136999999999999,0.0,0.136388888888889,0.031,6.898461519684357,0.1800689259698832
2015-06-29 20:04:54+00:00,23.829412979733707,17.69,91.7000000000001,0.0,0.0,0.528999999999999,0.0,0.136388888888889,0.031,0.0,0.1682605055948286
2015-06-29 20:34:54+00:00,13.869983325339248,16.48,93.8,0.0,0.0,0.538999999999999,0.0,0.136236111111111,0.031,0.0,0.1164128862053901
2015-06-29 21:04:54+00:00,7.472578904099757,15.94,98.4000000000001,0.0,0.0,0.558999999999999,0.0,0.136388888888889,0.031,0.0,0.0290246225724933
2015-06-29 21:34:54+00:00,2.101552815304767,16.25,100.0,0.0,0.0,0.736999999999999,0.0,0.136388888888889,0.031,0.0,0.0
2015-06-29 22:04:54+00:00,0.0,15.82,100.0,0.0,0.0,1.114,0.0,0.135465277777778,0.031,0.0,0.0
2015-06-29 22:34:54+00:00,0.0,15.85,99.5000000000001,0.0,0.0,1.28,0.0,0.135465277777778,0.031,0.0,0.0090181306767993
2015-06-29 23:04:54+00:00,0.0,16.19,96.4000000000001,0.0,0.0,1.588,0.0,0.135722222222222,0.031,0.0,0.0663566313816098
2015-06-29 23:34:54+00:00,0.0,16.3,96.6000000000001,0.0,0.0,1.837,0.0,0.135388888888889,0.031,0.0,0.0631114071121757
2015-06-30 00:04:44+00:00,0.0,16.59,90.7,0.0,0.0,1.672,0.0,0.135388888888889,0.031,0.0,0.1758459566413773
2015-06-30 00:34:44+00:00,0.0,17.11,92.1,0.0,0.0,1.533,0.0,0.135465277777778,0.031,0.0,0.1543873608619909
2015-06-30 01:04:44+00:00,0.0,16.96,97.9,0.0,0.0,1.225,0.0,0.135236111111111,0.031,0.0,0.0406513414390235
2015-06-30 01:34:44+00:00,0.0,16.87,96.2,0.0,0.0,1.419,0.0,0.135388888888889,0.031,0.0,0.0731407442876684
2015-06-30 02:04:44+00:00,0.0,16.63,95.9000000000001,0.0,0.0,1.484,0.0,0.135055555555556,0.031,0.0,0.0777209524344014
2015-06-30 02:34:44+00:00,0.0,16.35,98.5000000000001,0.0,0.0,1.629,0.2,0.134875,0.031,0.0,0.0279321505006982
2015-06-30 03:04:44+00:00,0.0,16.15,100.0,0.0,0.0,1.763,0.52,0.135493055555556,0.031,0.0,0.0
2015-06-30 03:34:44+00:00,0.5627137226522222,16.13,99.8,0.0,0.0,2.003,0.0,0.136694444444444,0.031,0.0,0.0036723886251231
2015-06-30 04:04:44+00:00,2.1583439476787447,16.09,99.3000000000001,0.0,0.0,2.252,0.0,0.136694444444444,0.031,0.0,0.0128205731235021
2015-06-30 04:34:44+00:00,4.052953912056145,16.17,98.4,0.0,0.0,2.456,0.0,0.137027777777778,0.031,15.25907732568014,0.0294542184770177
2015-06-30 05:04:44+00:00,5.093943716718947,16.11,98.1,12.51558,26.46,2.18,0.0,0.137055555555556,0.031,126.01145032903575,0.0348431703516283
2015-06-30 05:34:44+00:00,5.123861058948728,16.11,98.4,38.88060000000005,82.2000000000001,2.215,0.0,0.137284722222222,0.031,240.64071807146448,0.0293416171382131
2015-06-30 06:04:44+00:00,6.211007086495078,16.28,98.6,62.71979999999999,132.6,2.063,0.0,0.136361111111111,0.031,357.1860833873405,0.0259539318416919
2015-06-30 06:34:44+00:00,7.338608537866371,16.48,98.2,84.1467,177.9,2.151,0.0,0.136722222222222,0.031,473.6539726448619,0.0337972895435003
2015-06-30 07:04:44+00:00,7.37073790916638,16.72,97.6,139.1566,294.2,1.952,0.0,0.136722222222222,0.031,588.0521369322554,0.0457562110101474
2015-06-30 07:34:44+00:00,8.536363959528298,16.66,97.7,60.9224,128.8,1.479,0.0,0.136361111111111,0.031,698.4237306011014,0.0436828008325162
2015-06-30 08:04:44+00:00,9.736318508983825,16.5,98.6,73.1258,154.6,1.25,0.0,0.136284722222222,0.031,802.8807842336503,0.0263202700899241
2015-06-30 08:34:44+00:00,10.968436582999187,16.67,98.1,104.6749,221.3,1.199,0.0,0.136027777777778,0.031,899.6364994598898,0.0361087392456265
2015-06-30 09:04:44+00:00,8.635740360557694,17.14,97.2,201.6872,426.4,1.051,0.0,0.135798611111111,0.031,987.0358132024438,0.0548236447945719
2015-06-30 09:34:44+00:00,5.36437126441426,17.72,96.1,197.0991,416.7,1.869,0.0,0.136055555555556,0.031,1063.5837085293151,0.0792118451423156
2015-06-30 10:04:44+00:00,4.369842954022876,18.11,94.8,299.2671,632.7,2.34,0.0,0.136055555555556,0.031,1127.9707878397326,0.1082404579528998
2015-06-30 10:34:44+00:00,3.419034869277514,18.36,94.2,227.1346,480.2,2.056,0.0,0.135465277777778,0.031,1179.0956709374575,0.1226396123554306
2015-06-30 11:04:44+00:00,16.224148966808063,18.93,88.6,334.5529,707.3,2.72,0.0,0.135465277777778,0.031,1216.083834857544,0.2498037142715413
2015-06-30 11:34:44+00:00,112.18794664426731,19.56,87.2,497.123,1051.0,2.839,0.0,0.135131944444444,0.031,1238.302573178384,0.2917057288735215
2015-06-30 12:04:44+00:00,241.54601507516983,19.78,89.8,446.512,944.0,3.08,0.0,0.135055555555556,0.031,1245.371818928692,0.2356492437339701
2015-06-30 12:34:44+00:00,296.25113850183163,20.31,81.1,751.597,1589.0,3.189,0.0,0.134694444444444,0.031,1237.1706459549189,0.4512047123078065
2015-06-30 13:04:44+00:00,494.93258800706303,20.65,77.78,518.881,1097.0,2.796,0.0,0.134694444444444,0.031,1213.8393375366545,0.5417059219857147
2015-06-30 13:34:44+00:00,533.861731303268,20.97,76.5299999999999,638.077,1349.0,2.851,0.0,0.134131944444444,0.031,1175.7769868623927,0.5835558183176464
2015-06-30 14:04:44+00:00,635.4274517214067,21.45,74.26,601.656,1272.0,2.551,0.0,0.133798611111111,0.031,1123.6346704080709,0.6591168257772165
2015-06-30 14:34:44+00:00,692.6204209965221,21.66,71.2399999999999,662.673,1401.0,2.146,0.0,0.133798611111111,0.031,1058.304310989227,0.7459691877321831
2015-06-30 15:04:44+00:00,720.864229449449,22.05,71.1699999999999,653.6859999999999,1382.0,2.572,0.0,0.1334375,0.031,980.9034209877408,0.7657937476190468
2015-06-30 15:34:44+00:00,658.3868284957985,21.89,69.3799999999999,437.998,926.0,2.016,0.0,0.132875,0.031,892.7559867272818,0.8054453905446202
2015-06-30 16:04:44+00:00,653.0538705475291,22.01,70.9999999999999,408.199,863.0,1.979,0.0,0.132645833333333,0.031,795.3698209787625,0.7684340540016843
2015-06-30 16:34:44+00:00,559.4634436266912,21.79,73.5799999999999,370.5482,783.4,1.944,0.0,0.132645833333333,0.031,690.4107709925215,0.6907380427246395
2015-06-30 17:04:44+00:00,524.19654150114,21.37,75.4399999999999,270.88710000000003,572.7,2.14,0.0,0.132208333333333,0.031,579.6742232427429,0.6258277213261364
2015-06-30 17:34:44+00:00,407.6442597079589,20.45,82.1,104.2965,220.5,1.779,0.0,0.131875,0.031,465.0543923103433,0.4310404537069458
2015-06-30 18:04:44+00:00,190.2168920226945,19.46,88.6,49.00279999999999,103.6,1.234,0.0,0.132208333333333,0.031,348.5119192356183,0.2581906910122483
2015-06-30 18:34:44+00:00,125.83233229298504,19.02,89.3,45.31340000000005,95.8000000000001,1.668,0.0,0.131645833333333,0.031,232.0403335889314,0.2357856830284026
2015-06-30 19:04:44+00:00,80.3428467184337,18.52,92.4000000000001,15.429259999999998,32.62,1.143,0.0,0.131388888888889,0.031,117.63195294565658,0.1623199306017011
2015-06-30 19:34:44+00:00,43.51376171990948,17.93,94.3000000000001,0.0,0.0,1.496,0.0,0.1313125,0.031,7.243803075455289,0.1173126602871825
2015-06-30 20:04:44+00:00,24.71865975195393,17.35,97.2000000000001,0.0,0.0,1.493,0.0,0.131388888888889,0.031,0.0,0.0555570202216728
2015-06-30 20:34:44+00:00,16.411344076436492,16.94,100.0,0.0,0.0,1.453,0.0,0.1313125,0.031,0.0,0.0
2015-06-30 21:04:44+00:00,6.7160822207044495,16.77,100.0,0.0,0.0,1.697,0.0,0.130951388888889,0.031,0.0,0.0
2015-06-30 21:34:44+00:00,1.8291787773716432,16.73,100.0,0.0,0.0,1.541,0.0,0.130875,0.031,0.0,0.0
2015-06-30 22:04:44+00:00,1.049302695072601,16.67,100.0,0.0,0.0,1.277,0.0,0.130645833333333,0.031,0.0,0.0
2015-06-30 22:34:44+00:00,1.0713992656706746,16.84,100.0,0.0,0.0,1.3,0.0,0.1313125,0.031,0.0,0.0
2015-06-30 23:04:44+00:00,1.0935816900094186,16.98,100.0,0.0,0.0,1.37,0.0,0.131083333333333,0.031,0.0,0.0
2015-06-30 23:34:44+00:00,0.4090086566846738,17.03,100.0,0.0,0.0,1.1,0.0,0.130388888888889,0.031,0.0,0.0
2015-07-01 00:04:34+00:00,0.0,16.83,100.0,0.0,0.0,1.053,0.0,0.13075,0.031,0.0,0.0
2015-07-01 00:34:34+00:00,0.0,16.95,100.0,0.0,0.0,1.298,0.0,0.130388888888889,0.031,0.0,0.0
2015-07-01 01:04:34+00:00,0.0,17.05,100.0,0.0,0.0,1.434,0.0,0.130284722222222,0.031,0.0,0.0
2015-07-01 01:34:34+00:00,0.0,17.02,100.0,0.0,0.0,0.992,0.0,0.130388888888889,0.031,0.0,0.0
2015-07-01 02:04:34+00:00,2.0522347316641354,16.83,100.0,0.0,0.0,1.096,0.0,0.1303125,0.031,0.0,0.0
2015-07-01 02:34:34+00:00,3.928850164358851,16.68,100.0,0.0,0.0,1.302,0.0,0.130388888888889,0.031,0.0,0.0
2015-07-01 03:04:34+00:00,8.218505729629147,16.55,100.0,0.0,0.0,1.199,0.0,0.130388888888889,0.031,0.0,0.0
2015-07-01 03:34:34+00:00,9.711425285995665,16.47,100.0,0.0,0.0,1.511,0.0,0.1303125,0.031,0.0,0.0
2015-07-01 04:04:34+00:00,4.533014277531151,16.24,100.0,0.0,0.0,1.66,0.0,0.1303125,0.031,0.0,0.0
2015-07-01 04:34:34+00:00,0.4588281842334601,16.11,100.0,15.258979999999998,32.26,1.839,0.0,0.129951388888889,0.031,12.871222637719024,0.0
2015-07-01 05:04:34+00:00,0.0,16.01,100.0,31.615320000000047,66.8400000000001,2.067,0.0,0.130083333333333,0.031,123.61332622020572,0.0
2015-07-01 05:34:34+00:00,0.0,15.89,97.9,73.5042,155.4,2.058,0.0,0.1303125,0.031,238.25747179970443,0.0379731987822206
2015-07-01 06:04:34+00:00,0.0,15.96,95.6,115.2701,243.7,2.768,0.0,0.129875,0.031,354.8425968777861,0.0799198395905229
2015-07-01 06:34:34+00:00,0.0,15.73,95.1,133.85899999999998,283.0,2.951,0.0,0.12975,0.031,471.3744366339213,0.0877013665658256
2015-07-01 07:04:34+00:00,7.434933012569007,16.32,90.2,314.8761,665.7,2.513,0.0,0.129979166666667,0.031,585.8596371240468,0.1821414356609713
2015-07-01 07:34:34+00:00,59.07115389613024,17.33,85.7999999999999,370.832,784.0,2.267,0.0,0.12975,0.031,696.3398529167292,0.2813973802501207
2015-07-01 08:04:34+00:00,147.46511339545657,18.36,80.2999999999999,480.568,1016.0,2.629,0.0,0.129388888888889,0.031,800.9252459038277,0.4165517867934483
2015-07-01 08:34:34+00:00,333.8318373687582,19.28,77.3399999999999,621.049,1313.0,2.97,0.0,0.1293125,0.031,897.8268122665548,0.5074948016701878
2015-07-01 09:04:34+00:00,502.3467405347985,19.69,76.2199999999999,428.065,905.0,2.749,0.0,0.128951388888889,0.031,985.3869846213794,0.546327042653257
2015-07-01 09:34:34+00:00,538.0145786706089,19.96,71.9199999999999,529.2869999999999,1119.0,3.015,0.0,0.128465277777778,0.031,1062.107985874968,0.6560061191898658
2015-07-01 10:04:34+00:00,593.7270872427971,19.61,73.3099999999999,338.52610000000044,715.700000000001,2.562,0.0,0.128388888888889,0.031,1126.6774497744984,0.6101440703637099
2015-07-01 10:34:34+00:00,588.2161795684775,19.69,73.7799999999999,414.8210000000005,877.000000000001,3.017,0.0,0.128388888888889,0.031,1177.990869895164,0.6023841487959795
2015-07-01 11:04:34+00:00,670.554419168951,20.39,69.4099999999999,785.18,1660.0,3.709,0.0,0.128493055555556,0.031,1215.1704930575097,0.7338993075876099
2015-07-01 11:34:34+00:00,799.9177855057122,20.73,70.3599999999999,711.865,1505.0,3.642,0.0,0.128027777777778,0.031,1237.5803339876102,0.7261681335216194
2015-07-01 12:04:34+00:00,839.2702797264155,21.27,67.7199999999999,817.817,1729.0,3.479,0.0,0.127465277777778,0.031,1244.8370543814874,0.8175207960834776
2015-07-01 12:34:34+00:00,810.4306044339512,21.06,72.4599999999999,591.723,1251.0,3.371,0.0,0.127465277777778,0.031,1236.8165202771584,0.6885476719426099
2015-07-01 13:04:34+00:00,736.8047551765565,21.01,70.1199999999999,581.79,1230.0,2.969,0.0,0.126902777777778,0.031,1213.6559255631128,0.744761336350037
2015-07-01 13:34:34+00:00,758.0853902269102,21.23,69.0099999999999,645.1719999999999,1364.0,3.463,0.0,0.127055555555556,0.031,1175.7514452960806,0.7829279824114346
