solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2008-07-17 23:22:21+00:00,91.39896799988756,23.25,90.6398075642715,0.0,0.1999999999999993,1.952,0.0,0.258,0.386,0.0,0.2671377646792519
2008-07-17 23:52:21+00:00,91.39896799988756,23.32,90.51622919165187,0.0,0.8900000000000006,2.128,0.0,0.258,0.386,0.0,0.2718071686500697
2008-07-18 00:22:18+00:00,55.11166070817284,23.1,92.98779664404395,0.0,0.5500000000000007,1.699,0.0,0.258,0.386,0.0,0.1983267549848874
2008-07-18 00:52:18+00:00,55.11166070817284,22.97,94.22358037024,0.0,0.2899999999999991,2.107,0.0,0.257,0.386,0.0,0.1620992211730942
2008-07-18 01:22:18+00:00,55.11166070817284,22.79,95.45936409643606,0.0,0.629999999999999,1.518,0.0,0.257,0.386,0.0,0.1260429466183535
2008-07-18 01:52:18+00:00,55.11166070817284,22.6,95.58294246905568,0.0,0.1400000000000005,1.171,0.0,0.257,0.386,0.0,0.1212116786232853
2008-07-18 02:22:18+00:00,23.26081994931641,22.64,95.33578572381649,0.0,0.879999999999999,1.205,0.0,0.256,0.386,0.0,0.1283042970636877
2008-07-18 02:52:18+00:00,55.11166070817284,22.4,96.44799107739291,0.0,0.4899999999999984,0.485,0.0,0.256,0.386,0.0,0.0962993943964319
2008-07-18 03:22:18+00:00,23.26081994931641,22.27,97.56019643096934,0.0,0.0,1.296,0.0,0.256,0.386,0.0,0.0656265065683886
2008-07-18 03:52:18+00:00,23.26081994931641,22.34,97.93093154882814,0.0,1.1400000000000006,0.597,0.0,0.256,0.386,0.0,0.0558912772036998
2008-07-18 04:22:18+00:00,23.26081994931641,22.58,95.95367758691448,0.0,0.9399999999999976,0.653,0.0,0.255,0.386,0.0,0.1109037191191236
2008-07-18 04:52:18+00:00,23.26081994931641,22.74,94.10000199762042,0.0,0.8299999999999983,0.336,0.0,0.255,0.386,0.0,0.16328310174149
2008-07-18 05:22:18+00:00,23.26081994931641,22.65,95.21220735119688,0.0,0.6400000000000006,0.628,0.0,0.255,0.386,0.0,0.1317834307724974
2008-07-18 05:52:18+00:00,23.26081994931641,22.72,94.71789386071843,0.556,1.349999999999998,1.143,0.0,0.255,0.386,0.0,0.1460062164213054
2008-07-18 06:22:18+00:00,23.26081994931641,22.55,96.2008343321537,30.17,46.88,1.406,0.0,0.254,0.386,129.56628156017624,0.1039405504456236
2008-07-18 06:52:18+00:00,0.0,22.36,97.18946131311051,80.5,154.18,1.323,0.0,0.254,0.386,289.0182817289693,0.0760126040752814
2008-07-18 07:22:18+00:00,23.26081994931641,22.46,98.30166666668696,201.9,390.28,1.022,0.0,0.254,0.386,444.268849821904,0.0462117015874611
2008-07-18 07:52:18+00:00,1359.005155986828,23.78,95.58294246905568,341.1,670.78,0.42,0.0,0.254,0.386,592.6618693617697,0.1301389396488421
2008-07-18 08:22:18+00:00,9810.467945177044,26.24,80.87711612732275,446.5,910.38,0.493,0.0,0.254,0.386,731.658544996945,0.6519091111683846
2008-07-18 08:52:18+00:00,15061.030142206831,26.35,77.66407843921304,565.2,1147.38,1.114,0.0,0.253,0.386,858.880837782252,0.766373255201699
2008-07-18 09:22:18+00:00,16849.695379721998,26.8,74.45104075110332,653.3,1291.38,1.801,0.0,0.253,0.386,972.1521501971692,0.9000136296653981
2008-07-18 09:52:18+00:00,17083.60840106238,26.95,71.48515980823284,534.7,1040.38,2.321,0.0,0.252,0.386,1069.5345648342663,1.0133290398757204
2008-07-18 10:22:18+00:00,16161.999145919175,27.26,69.97750366227366,426.7,833.38,2.48,0.0,0.252,0.386,1149.3619996516402,1.08635647373412
2008-07-18 10:52:18+00:00,16849.695379721998,27.19,71.11442469037402,409.4,786.38,2.666,0.0,0.251,0.386,1210.2687125434568,1.040966256964346
2008-07-18 11:22:18+00:00,18043.42428719692,27.45,71.60873818085243,498.5,973.38,1.755,0.0,0.251,0.386,1251.2126675489749,1.0387455903620528
2008-07-18 11:52:18+00:00,18289.56700496548,27.56,69.26074910107995,555.0,1106.38,2.876,0.0,0.25,0.386,1271.493362929303,1.131859928996116
2008-07-18 12:22:18+00:00,18789.492949064384,27.6,70.86726794513481,710.0,1432.38,2.622,0.0,0.25,0.385,1270.7638160903166,1.0751995019995866
2008-07-18 12:52:18+00:00,20895.851323238607,28.33,67.81488214143059,884.0,1752.38,2.58,0.0,0.249,0.385,1249.03650029802,1.239107183905543
2008-07-18 13:22:18+00:00,21450.48365690804,28.5,67.37,900.0,1766.38,2.805,0.0,0.249,0.386,1206.6831316085568,1.2686080915725826
2008-07-18 13:52:18+00:00,22016.91911748988,28.25,68.3709848182188,907.0,1753.38,3.912,0.0,0.248,0.385,1144.42830964935,1.2120883405856304
2008-07-18 14:22:18+00:00,21732.20679264208,28.0,68.43277400452861,836.0,1609.38,4.317,0.0,0.248,0.385,1063.3371210399948,1.1923682775470763
2008-07-18 14:52:18+00:00,21171.71113501818,28.05,68.89001398322112,760.0,1469.38,3.633,0.0,0.247,0.385,964.7969175326028,1.1785004674743729
2008-07-18 15:22:18+00:00,20085.37889725311,28.11,68.87765614595918,629.6,1256.38,3.313,0.0,0.247,0.385,850.4935806142934,1.1830652569010065
2008-07-18 15:52:18+00:00,18289.56700496548,27.94,69.08773937941251,505.2,1013.38,3.658,0.0,0.246,0.385,722.3826786443522,1.1635818587730409
