solar_TIMESTAMP,CZE_LAN_Fex_Jt_7,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2016-05-06 06:01:03+00:00,0.0,10.67,83.24,165.2037037,349.2406296218,1.680073312,0.0,0.40825,0.4232499999999999,306.6515027614079,0.215190168
2016-05-06 06:11:03+00:00,9.225036948919296,10.8185,82.6335,165.1059259,349.0339273526,1.67808113,0.0,0.4081749999999999,0.423275,343.6365469088438,0.2251937557
2016-05-06 06:21:03+00:00,7.122289389371872,11.116,81.6955,225.72,477.17208,1.608221956,0.0,0.408075,0.423275,380.51987695704753,0.2420985523
2016-05-06 06:31:03+00:00,7.563995197415352,11.5205,79.8725,245.7644444,519.5460354616,1.798408911,0.0,0.40805,0.4232249999999999,417.2312765212884,0.2734456989
2016-05-06 06:41:03+00:00,8.00594873726368,11.608,79.7925,272.3681481,575.7862650833999,2.103876786,0.0,0.408125,0.4232,453.70085654436167,0.2761266303999999
2016-05-06 06:51:03+00:00,8.44765454530716,11.917,78.98,302.5488889,639.5883511346,1.556690853,0.0,0.4081,0.4231749999999999,489.8591883472199,0.2931526814
2016-05-06 07:01:03+00:00,38.15590031445026,12.3215,77.794,333.2266667,704.4411734038,1.781276147,0.0,0.4080249999999999,0.4232499999999999,525.637435803078,0.3180561126
2016-05-06 07:11:03+00:00,51.32185481488705,12.9885,75.8945,362.5437037,766.4173896217999,1.335160238,0.0,0.407825,0.4231749999999999,560.967486383807,0.360703138
2016-05-06 07:21:03+00:00,33.94966199994087,13.5455,73.084,392.5777778,829.9094222691999,1.437292758,0.0,0.407825,0.4231749999999999,595.7820808280097,0.4176704455
2016-05-06 07:31:03+00:00,70.0199082493782,13.919,71.2685,422.9622222,894.1421377308,1.522292514,0.0,0.40785,0.4231749999999999,630.0149411854237,0.456804137
2016-05-06 07:41:03+00:00,61.55466474592686,14.289,69.6515,452.8088889,957.2379911346,1.519237836,0.0,0.407875,0.4231749999999999,663.6008969925618,0.4942284393999999
2016-05-06 07:51:03+00:00,46.72692529857159,14.842,67.6455,481.302963,1017.474463782,1.455488018,0.0,0.40785,0.423075,696.4760093401683,0.5460595843
2016-05-06 08:01:03+00:00,50.98617821931839,15.0865,66.387,509.0637037,1076.1606696218,1.484839497,0.0,0.4079,0.4231,728.5776925959576,0.5763025973
2016-05-06 08:11:03+00:00,51.42813175916672,15.601,65.1895,536.4822222,1134.1234177308,1.06209852,0.0,0.40785,0.423075,759.844833551153,0.6168782525000001
2016-05-06 08:21:03+00:00,51.8698375672102,16.234,63.065,564.5362963,1193.4297303782,0.909364583,0.0,0.40785,0.423075,790.217907763678,0.6815496068
2016-05-06 08:31:03+00:00,29.407747089862823,16.2685,61.555,588.1659259,1243.3827673526,1.497058212,0.0,0.40785,0.4229499999999999,819.6390928768777,0.7109749976999999
2016-05-06 08:41:03+00:00,45.118650421500206,16.7035,60.529,614.8592593,1299.8124741601998,1.050942302,0.0,0.4078999999999999,0.42295,848.0523786977365,0.7504345762
2016-05-06 08:51:03+00:00,95.1859913766384,16.94,58.5345,640.8762963,1354.8124903782,1.169277901,0.0,0.4078999999999999,0.422925,875.4036738252454,0.8002754535
2016-05-06 09:01:03+00:00,39.64006155729294,17.626,56.41,663.5933333,1402.8363065962,1.298769717,0.0,0.407875,0.4228499999999999,901.6409086256688,0.8785713531000001
2016-05-06 09:11:03+00:00,46.44426330924034,17.6035,55.7845,683.9718519,1445.9164949166,1.618448489,0.0,0.4078,0.4229,926.714134359253,0.8899148779000001
