solar_TIMESTAMP,USA_PJS_P04_AMB_Jmo_Js_6,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2014-09-05 09:41:39+00:00,328.94551749600004,20.06,67.52,564.289,1193.0,1.61,0.0,0.0836058928571428,0.058953125,999.4485510500726,0.7622991561863035
2014-09-05 09:56:39+00:00,450.4715910000001,20.15,67.53,454.08,960.0,2.402,0.0,0.0841728571428571,0.059325,1038.0846810777014,0.7663184799086171
2014-09-05 10:11:39+00:00,587.437570944,20.2,67.26,531.6519999999999,1124.0,2.417,0.0,0.0845451785714286,0.059325,1072.6549293511614,0.7750827321625697
2014-09-05 10:26:39+00:00,714.183516936,20.85,64.44,613.954,1298.0,2.055,0.0,0.0846871428571428,0.059325,1103.0111916184114,0.8762634763109802
2014-09-05 10:41:39+00:00,768.290494824,21.3,62.39,600.7099999999999,1270.0,1.839,0.0,0.0850594642857142,0.059325,1129.0234169312132,0.9527383934458012
2014-09-05 10:56:39+00:00,912.627698976,21.41,61.1,542.058,1146.0,1.857,0.0,0.0852898214285714,0.059325,1150.580164805598,0.992079049480734
2014-09-05 11:11:39+00:00,1038.020384952,22.23,57.44,712.8109999999999,1507.0,2.392,0.0,0.0856442857142857,0.059325,1167.5890826526154,1.1411288578096537
2014-09-05 11:26:39+00:00,1138.277162016,22.42,55.61,590.304,1248.0,1.765,0.0,0.0858925,0.059325,1179.9773014338707,1.2040239039496272
2014-09-05 11:41:39+00:00,1244.199299688,23.11,52.58,666.457,1409.0,1.578,0.0,0.0862469642857143,0.059325,1187.691747846723,1.3411248097226764
2014-09-05 11:56:39+00:00,1280.823367176,22.76,53.17,391.644,828.0,1.462,0.0,0.0861228571428571,0.059325,1190.6993717018252,1.2966818370159534
2014-09-05 12:11:39+00:00,1280.823367176,22.82,52.97,558.6129999999999,1181.0,1.536,0.0,0.0861228571428571,0.059325,1188.9872875187457,1.3069617309829176
2014-09-05 12:26:39+00:00,1318.1276061360002,22.86,52.01,570.438,1206.0,1.476,0.0,0.0863353571428571,0.059696875,1182.5628297330525,1.3368745416081105
2014-09-05 12:41:39+00:00,1356.125831784,23.65,50.14,656.0509999999999,1387.0,1.919,0.0,0.0871326785714285,0.059696875,1171.4535212783703,1.4568112967067015
2014-09-05 12:56:39+00:00,1394.832209976,23.78,49.64,521.246,1102.0,1.524,0.0,0.0866898214285714,0.059696875,1155.706955677888,1.48297181677722
2014-09-05 13:11:39+00:00,1280.823367176,23.64,46.5,613.954,1298.0,1.22,0.0,0.0871505357142857,0.059696875,1135.3905931505406,1.562224433221517
2014-09-05 13:26:39+00:00,1434.2613624,24.44,44.0,652.2669999999999,1379.0,1.162,0.0,0.0873808928571428,0.059696875,1110.5914716052584,1.7156360107194912
2014-09-05 13:41:39+00:00,1318.1276061360002,24.87,41.46,646.1179999999999,1366.0,1.928,0.0,0.08761125,0.059989375,1081.4158337614494,1.840105800546935
2014-09-05 13:56:39+00:00,1394.832209976,24.82,40.82,567.6,1200.0,1.945,0.0,0.0877353571428571,0.059696875,1047.9886719931803,1.8546845855286185
2014-09-05 14:11:39+00:00,1356.125831784,25.45,40.03,586.9929999999999,1241.0,1.609,0.0,0.0876291071428571,0.059696875,1010.4531928468396,1.9512360548229657
