solar_TIMESTAMP,USA_PJS_P08_AMB_Jmo_Js_10,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2015-07-04 16:49:21+00:00,212.8962906,20.67,66.22,44.8877,94.9,1.128,0.0,0.14474296875,0.0492507142857143,613.2825407575674,0.8232314115471904
2015-07-04 17:04:21+00:00,194.43192678000003,19.79,66.28,27.98268,59.16,1.138,0.0,0.1440984375,0.0488257142857143,550.3831619152487,0.7782767441623069
2015-07-04 17:19:21+00:00,194.43192678000003,18.64,75.7,1.633269,3.453,0.649,1.016,0.14410078125,0.0484007142857143,486.3694434180913,0.5220912608230739
2015-07-04 17:34:21+00:00,109.6861374,17.57,85.5,3.69886,7.82,1.015,0.254,0.1443203125,0.0484007142857143,421.5154339493138,0.2912819922345089
2015-07-04 17:49:21+00:00,79.59992039999999,17.29,87.7,8.79307,18.59,1.477,0.0,0.14442421875,0.0484007142857143,356.0987796114593,0.2427563218144461
2015-07-04 18:04:21+00:00,79.59992039999999,17.48,83.9,25.32442,53.54,2.2,0.0,0.14399453125,0.0484007142857143,290.399535297811,0.3215916147457303
2015-07-04 18:19:21+00:00,52.02246545999999,17.77,81.7,43.2322,91.4,2.037,0.0,0.14377734375,0.0484007142857143,224.69896575110735,0.3722821859369445
2015-07-04 18:34:21+00:00,39.30900498,17.78,82.0,32.63227,68.99,1.302,0.0,0.14345390625,0.0484007142857143,159.27834144265393,0.3664099190143361
2015-07-04 18:49:21+00:00,27.434704499999995,17.79,78.4,1.273316,2.692,1.49,0.0,0.14345390625,0.0484007142857143,94.41773442618327,0.4399689192124709
2015-07-04 19:04:21+00:00,27.434704499999995,17.77,76.9,0.0,0.0,2.196,0.0,0.14291328125,0.0484914285714285,30.394819321839076,0.4699299724122088
2015-07-04 19:19:21+00:00,52.02246545999999,18.98,64.09,0.0,0.0,2.36,0.0,0.14248125,0.0484914285714285,0.0,0.7880999110634297
2015-07-04 19:34:21+00:00,65.47513266,19.14,62.99,0.0,0.0,1.727,0.0,0.14258515625,0.0484914285714285,0.0,0.8203855652514325
2015-07-04 19:49:21+00:00,79.59992039999999,18.33,69.11,0.0,0.0,0.981,0.0,0.14269140625,0.0484914285714285,0.0,0.6509160507815919
2015-07-04 20:04:21+00:00,52.02246545999999,17.91,71.3,0.0,0.0,0.693,0.0,0.142153125,0.0484914285714285,0.0,0.5890210669607316
2015-07-04 20:19:21+00:00,52.02246545999999,16.86,81.4,0.0,0.0,0.796,0.0,0.14182734375,0.0484914285714285,0.0,0.3572324028146281
2015-07-04 20:34:21+00:00,27.434704499999995,16.67,83.6,0.0,0.0,0.61,0.0,0.14182734375,0.0484914285714285,0.0,0.3112023512460176
2015-07-04 20:49:21+00:00,7.01798832,16.45,86.6,0.0,0.0,1.21,0.0,0.1416078124999999,0.0484914285714285,0.0,0.2507424979892516
2015-07-04 21:04:21+00:00,16.56343332,16.62,84.6,0.0,0.0,0.83,0.0,0.141496875,0.0484914285714285,0.0,0.2912995320243363
2015-07-04 21:19:21+00:00,16.56343332,16.49,83.9,0.0,0.0,0.946,0.0,0.1413859374999999,0.0484914285714285,0.0,0.302033081296549
2015-07-04 21:34:21+00:00,7.01798832,16.34,84.6,0.0,0.0,1.209,0.0,0.1412749999999999,0.0484914285714285,0.0,0.2861554239755193
2015-07-04 21:49:21+00:00,16.56343332,16.5,83.2,0.0,0.0,1.049,0.0,0.1411640625,0.0484914285714285,0.0,0.3153655401282185
2015-07-04 22:04:21+00:00,27.434704499999995,16.39,83.4,0.0,0.0,1.119,0.0,0.1412703125,0.0484914285714285,0.0,0.309437079130797
2015-07-04 22:19:21+00:00,39.30900498,16.39,82.2,0.0,0.0,1.129,0.0,0.14105546875,0.0484914285714285,0.0,0.3318060246101315
2015-07-04 22:34:21+00:00,27.434704499999995,16.83,79.3,0.0,0.0,0.898,0.0,0.14083828125,0.0484914285714285,0.0,0.3968090562489998
2015-07-04 22:49:21+00:00,52.02246545999999,17.1,78.0,0.0,0.0,0.799,0.0,0.14105078125,0.0484914285714285,0.0,0.4290095178728237
2015-07-04 23:04:21+00:00,52.02246545999999,18.2,71.3,0.0,0.0,0.745,0.0,0.14083125,0.0484914285714285,0.0,0.5998551989122471
2015-07-04 23:19:21+00:00,52.02246545999999,18.51,69.67,0.0,0.0,0.625,0.0,0.14061640625,0.0484914285714285,0.0,0.6463661387733886
2015-07-04 23:34:21+00:00,52.02246545999999,18.32,69.23,0.0,0.0,0.85,0.0,0.1406140625,0.0484914285714285,0.0,0.6479808832223928
2015-07-04 23:49:21+00:00,65.11228919999999,18.23,70.1,0.0,0.0,0.57,0.0,0.1406140625,0.0484914285714285,0.0,0.6261141926859755
2015-07-05 00:04:12+00:00,65.11228919999999,17.28,74.7,0.0,0.0,1.323,0.0,0.14050546875,0.0484914285714285,0.0,0.4990124178073283
2015-07-05 00:19:12+00:00,79.15675068,17.17,73.0,0.0,0.0,1.612,0.0,0.1402859375,0.0484914285714285,0.0,0.5288500069087709
2015-07-05 00:34:12+00:00,79.15675068,17.26,71.0,0.0,0.0,2.009,0.0,0.13996484375,0.0484914285714285,0.0,0.5712675491481523
2015-07-05 00:49:12+00:00,93.8211183,17.69,68.02,0.0,0.0,1.956,0.0,0.13985390625,0.0484914285714285,0.0,0.6473072080627345
2015-07-05 01:04:12+00:00,93.8211183,18.94,61.05,0.0,0.0,1.891,0.0,0.13996015625,0.0480664285714285,0.0,0.8526861853821628
2015-07-05 01:19:12+00:00,93.8211183,20.08,55.83,0.0,0.0,1.904,0.0,0.13953046875,0.0484914285714285,0.0,1.0379446780307973
2015-07-05 01:34:12+00:00,93.8211183,19.94,57.24,0.0,0.0,2.304,0.0,0.139740625,0.0484914285714285,0.0,0.9961414872157972
2015-07-05 01:49:12+00:00,124.8760989,19.91,57.57,0.0,0.0,1.762,0.0,0.1395234374999999,0.0484914285714285,0.0,0.986618764497542
2015-07-05 02:04:12+00:00,124.8760989,19.4,60.51,0.0,0.0,2.057,0.0,0.1396296875,0.0484914285714285,0.0,0.8896429627290385
2015-07-05 02:19:12+00:00,158.08068108,19.2,61.83,0.0,0.0,1.966,0.0,0.1397359375,0.0484914285714285,0.0,0.8492676588695507
2015-07-05 02:34:12+00:00,175.44933504,18.74,64.09,0.0,0.0,1.771,0.0,0.13930625,0.0484914285714285,0.0,0.7763750079711722
