solar_TIMESTAMP,CAN_TUR_P39_PRE_Pst_Js_4,ta,rh,sw_in,ppfd_in,ws,precip,swc_shallow,swc_deep,ext_rad,vpd
2010-08-18 15:35:45+00:00,1947.917334583492,22.93,68.2199999999998,346.15000000000003,723.0,0.564,0.0,0.0523819444444445,0.066,778.7566203795479,0.8890660699139037
2010-08-18 16:05:45+00:00,1717.7147518298982,22.88,70.4999999999999,257.05,538.8,0.415,0.0,0.0523819444444445,0.066,674.3475608110513,0.8227877233286429
2010-08-18 16:35:45+00:00,1372.392912551568,22.93,73.4999999999999,234.25,480.5,0.531,0.0,0.0523819444444445,0.066,561.8891386262171,0.7413546523825802
2010-08-18 17:05:45+00:00,1290.895853606497,23.05,75.9999999999999,342.15000000000003,661.3,0.726,0.0,0.0523819444444445,0.066,443.30614616946247,0.6763068411479338
2010-08-18 17:35:45+00:00,1094.030582658017,22.94,75.8999999999999,259.05,494.1,1.262,0.0,0.0523819444444445,0.066,320.62820275544294,0.6746212183801212
2010-08-18 18:05:45+00:00,908.1646083858236,22.57,76.1999999999999,155.65,297.8,0.87,0.0,0.0523819444444445,0.066,195.95501655309064,0.6514520363977754
2010-08-18 18:35:45+00:00,733.4145375803884,22.05,76.0999999999999,71.52,129.9,0.975,0.0,0.0523819444444445,0.066,71.42044681784498,0.6338278841238476
2010-08-18 19:05:45+00:00,517.0601954856571,21.31,78.8,18.09,31.9200000000001,1.068,0.0,0.0523819444444445,0.066,0.0,0.5373686527510271
2010-08-18 19:35:45+00:00,369.90664970745416,20.9,79.4,4.280000000000001,0.0,1.222,0.0,0.0523819444444445,0.066,0.0,0.5091846291922644
2010-08-18 20:05:45+00:00,261.8298046972763,20.82,80.1999999999999,4.73,0.0,1.125,0.0,0.0527152777777778,0.066,0.0,0.4870088302541786
2010-08-18 20:35:45+00:00,211.493700024147,20.72,83.2,4.890000000000001,0.0,1.061,0.0,0.0527152777777778,0.066,0.0,0.4106847156741233
2010-08-18 21:05:45+00:00,163.75434560944188,20.87,84.7,5.188000000000001,0.0,1.014,0.0,0.0527152777777778,0.066,0.0,0.3774839522745785
2010-08-18 21:35:45+00:00,118.9150802733327,21.07,81.6999999999999,5.307,0.0,0.912,0.0,0.0527152777777778,0.066,0.0,0.4570825614967613
2010-08-18 22:05:45+00:00,97.87099323981516,20.89,79.9999999999999,5.273000000000001,0.0,1.05,0.0,0.0527152777777778,0.066,0.0,0.4940502010701417
2010-08-18 22:35:45+00:00,77.73726092083828,20.76,79.6999999999999,5.776000000000001,0.0,1.372,0.0,0.0527152777777778,0.066,0.0,0.4974672554888786
2010-08-18 23:05:45+00:00,58.62845380543016,20.54,82.4999999999999,5.672000000000001,0.0,1.369,0.0,0.0527152777777778,0.066,0.0,0.4230793093188831
