,,,,,mean_pi_width,mean_pi_width,mean_coverage_eps,mean_coverage_eps,winkler_score_norm,winkler_score_norm
,,,,,mean,std,mean,std,mean,std
dataset,ts_instance,fc_model,uc_model,alpha,,,,,,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-lightgbm,spic,0.05,157.67140061477045,0.7240702653681929,0.016773245765641168,4.989200390507951e-05,2.3440201618731344,0.00662479258144209
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-lightgbm,spic,0.1,121.28835109670476,0.9652556398018226,0.03259592118907709,0.0016043208106514566,1.8690297779872571,0.007786248309517217
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,darts-lightgbm,spic,0.15,101.7999514844481,0.2072367044182639,0.04567490494296578,0.00048049393125970186,1.6325430603982558,0.0019133405347790062
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,default-conformal,0.05,220.83443467838723,,0.013791911510542668,,3.618456385630536,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,default-conformal,0.1,162.6894171711816,,0.013238852402350482,,2.7746143641300898,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,default-conformal,0.15,138.32204627463284,,0.017092983062564765,,2.383103260477705,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,enbpi,0.05,145.41538697297787,,-0.034255098513653645,,3.105371267494874,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,enbpi,0.1,114.87191605164112,,-0.04604217075699965,,2.445468161088848,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,enbpi,0.15,96.32138938982925,,-0.05186657449014867,,2.0896302464158216,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,knn,0.05,148.12557853813448,,-0.04531628067749742,,3.045310767797571,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,knn,0.1,110.16257515771143,,-0.04561009332872454,,2.2638460643344995,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,knn,0.15,93.75474075326613,,-0.04797787763567232,,1.9392311190998521,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,nexcp,0.05,191.07269531741835,,-0.002886277220878017,,3.17193565630015,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,nexcp,0.1,152.9486991141933,,-0.0015381956446594847,,2.5315822096556975,
air-10,air-10PRSA_Data_Aotizhongxin_20130301-20170228,reg-ridge,nexcp,0.15,131.809609994318,,-0.0014863463532665266,,2.220185489101787,
